"fecha","hora","am_pm","blue_compra","oficial_compra","bolsa_compra","contado_liqui_compra","crypto_compra","blue_venta","oficial_venta","bolsa_venta","contado_liqui_venta","crypto_venta","solidario_venta"
"15/10/23","12:11","P","960","349.02","869.95","869.45","906","980","367.39","871.56","869.56","928","639.63"
"15/10/23","03:23","P","960","349.02","869.95","869.45","912","980","367.39","871.56","869.56","934","639.63"
"15/10/23","03:31","P","960","349.02","869.95","869.45","912","980","367.39","871.56","869.56","934","639.63"
"16/10/23","12:36","A","960","349.02","869.95","869.45","920","980","367.39","871.56","869.56","940","639.63"
"16/10/23","12:46","A","960","349.02","869.95","869.45","920","980","367.39","871.56","869.56","941","639.63"
"16/10/23","04:46","P","960","348.79","869.95","869.45","923","980","367.17","871.56","869.56","943","639.63"
"16/10/23","05:55","P","960","348.79","869.95","869.45","915","980","367.17","871.56","869.56","935","639.63"
"16/10/23","06:00","P","960","348.79","869.95","869.45","915","980","367.17","871.56","869.56","935","639.63"
"16/10/23","06:19","P","960","348.79","869.95","869.45","913","980","367.17","871.56","869.56","936","639.63"
"16/10/23","06:40","P","960","348.79","869.95","869.45","912","980","367.17","871.56","869.56","937","639.63"
"16/10/23","07:00","P","960","348.79","869.95","869.45","912","980","367.17","871.56","869.56","937","639.63"
"16/10/23","07:24","P","960","348.79","869.95","869.45","916","980","367.17","871.56","869.56","936","639.63"
"16/10/23","07:38","P","960","348.79","869.95","869.45","916","980","367.17","871.56","869.56","938","639.63"
"16/10/23","07:58","P","960","348.79","869.95","869.45","918","980","367.17","871.56","869.56","936","639.63"
"16/10/23","08:21","P","960","348.79","869.95","869.45","917","980","367.17","871.56","869.56","936","639.63"
"16/10/23","08:39","P","960","348.79","869.95","869.45","917","980","367.17","871.56","869.56","937","639.63"
"16/10/23","09:24","P","960","348.79","869.95","869.45","919","980","367.17","871.56","869.56","941","639.63"
"16/10/23","10:32","P","960","348.79","869.95","869.45","923","980","367.17","871.56","869.56","944","639.63"
"16/10/23","11:04","P","960","348.79","869.95","869.45","929","980","367.17","871.56","869.56","946","639.63"
