columnas,count,unique,duplicate,vacios,cero,null,unique_values
ï»¿cla_event_no,14,14,0,0,0,1,"['1702', '1783,1843,""[15:55] BENITEZ Gustavo Lorenzo', 'Robaron: Rompieron una de las vidrieras de ingreso (lateral izquierdo),1 Televisor Samsung de 55"""",$150.000 que se encontraban debajo de la caja registradora,1 Notebook Asus,1 Celular Samsung Galaxy A34, 1 Posnet de Mercado pago, 3 cabinas de manicuria UV LED marca Thuya', ',80217,5034395,80552,501,0,SIC6,QIC6,OK,TG1,,CL,IN,,,,RODRIGGR,,,,,N,,,2023-07-21 15:52:17.000000 UTC,,2023-07-21 15:56:36.000000 UTC,2023-08-09 16:10:25.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,CAPITAL FEDERAL,2023-08-09 16:10:25.000000 UTC,GARYULO,,6,CAPITAL FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53937,77793,,IIC,,C1-53390002788,0000000000000000C1-53390002788,GARYULO,2023-08-09 16:10:26.000000 UTC,,,,,,,3123003814,1,,,,,,,,,,,,,,,,,39f8f44c-bfe8-4cb1-91d1-26f34e3c791a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUC,,3554252474,2023-08-10\n1823,1883,la noche del dia 16/08 hubo mucho viento y al otro dia nos dimos cuenta que  se rajo el vidrio del local, pero ahora esta cada vez mas rajado a punto de caer"",81272,5034473,80629,301,0,SIC7,QIC7,OK,TG1,,CL,IN,,,,CLAVIO,,,,,N,,,2023-08-25 16:02:00.000000 UTC,,2023-08-25 16:05:35.000000 UTC,2023-09-19 14:56:16.000000 UTC,,,,,,N,N,N,N,N,N,N,N,N,,,,,,,,,,BUENOS AIRES,2023-09-19 14:56:16.000000 UTC,GARYULO,,6,TIGRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54015,77870,,IIC,,C1-60490000001,0000000000000000C1-60490000001,GARYULO,2023-09-19 14:56:17.000000 UTC,,,,,,,3557292546,1,,,,,,,,,,,,,,,,,11a3dd9c-d0e9-4a44-ba5e-dbb43842da2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377523811,2023-09-20', '1842,1902,""En relaciÃ\x83Â³n con el siniestro a informar, se tratÃ\x83Â³ del dÃ\x83Â\xada sÃ\x83Â¡bado 16 /09/2023 en horario de la maÃ\x83Â±ana, aproximadamente 10:30 am. En circunstancias en que se procedÃ\x83Â\xada a cambiar la baterÃ\x83Â\xada a un vehÃ\x83Â\xadculo marca Volkswagen modelo FOX, ya que el comercio se dedica al Rubro de ventas de baterÃ\x83Â\xadas. para vehÃ\x83Â\xadculos. es asÃ\x83Â\xad que en un momento determinado el cliente al manipular la baterÃ\x83Â\xada que se habÃ\x83Â\xada sacado de su vehÃ\x83Â\xadculo, para colocar la nueva que habÃ\x83Â\xada comprado, levanta la misma por medio de una manija de tela que tren las mismas a fin de guardarla y es en ese momento que se corta la manija de tela la cual estaba deteriorada por el propio acido que las baterÃ\x83Â\xadas portan, cayendo sobre su pie derecho en la zona de los dedos la baterÃ\x83Â\xada en cuestiÃ\x83Â³n es una baterÃ\x83Â\xada marca Moura la que lo lesionÃ\x83Â³ con un peso aproximado de 15 a 16 kilogramos. En ese momento el cliente Verduci tomo asiento para luego retirarse el calzado debido a un fuerte dolor que sintiÃ\x83Â³, notÃ\x83Â¡ndose que tenÃ\x83Â\xada un color morado sobre sus dedos, los cuales en ese momento podÃ\x83Â\xada mover con alguna dificultad, pero los movÃ\x83Â\xada, luego se le pregunto si querÃ\x83Â\xada que se solicitara ambulancia para ser revisado a lo que respondiÃ\x83Â³ que no era necesario que estaba bien que solo fue el golpe del momento que cualquier cosa se harÃ\x83Â\xada atender posteriormente por medios propios, luego se retirÃ\x83Â³ del lugar conduciendo su vehÃ\x83Â\xadculo."",77992,5034213,80332,401,0,SIC5,QIC5,OK,TG1,,OP,TP,,,,OLIVET,,,,,N,,,2023-09-21 16:32:00.000000 UTC,,2023-09-21 16:35:37.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,,BUENOS AIRES,2023-10-25 08:56:56.000000 UTC,OLIVET,,5,VILLA LUZURIAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53755,77573,77573,IIC,,C1-61090000001,0000000000000000C1-61090000001,OLIVET,2023-10-25 08:56:56.000000 UTC,,,,,,,3903925065,1,,,,,,,,,,,,,,,,,34dfcd6d-6289-46ee-9114-8a077e9452b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2366190929,2023-10-26', '1822,1882,""En el horario de las 14  hs  durante la tormenta exploto un cristal, sin Culpa aparente"",80187,5034394,80551,301,0,SIC7,QIC7,OK,TG1,,CL,IN,,,,RAGONESE,,,,,N,,,2023-08-18 15:03:00.000000 UTC,,2023-08-25 15:09:45.000000 UTC,2023-08-30 09:18:20.000000 UTC,,,,,,N,N,N,N,N,N,Y,N,N,,,,,,,,,,BUENOS AIRES,2023-08-30 09:18:20.000000 UTC,GARYULO,,6,BURZACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53936,77792,,IIC,,C1-53390002789,0000000000000000C1-53390002789,GARYULO,2023-08-30 09:18:21.000000 UTC,,,,,,,3556778240,1,,,,,,,,,,,,,,,,,1148c223-2411-43f6-a4d3-a22443f51c18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933969988,2023-08-31', '1643', '1862,1922,""INGRESO DCIA MANUAL, LA ASEGURADA SE Se presento la asegurada para hacer la denuncia por daÃ\x83Â±os en la puerta de entrada y la reja  por intento de robo, sono la alarma y se retiraron del lugar ."",80748,5034437,80593,505,0,SIC6,QIC6,OK,TG1,,CL,IN,,,,OLIVET,,,,,N,,,2023-09-26 14:48:18.000000 UTC,,2023-09-26 14:51:18.000000 UTC,2023-10-10 10:50:06.000000 UTC,,,,,,,,,,,,,,,,,,,,,,,,BUENOS AIRES,2023-10-10 10:50:06.000000 UTC,GARYULO,,6,BAHIA BLANCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53979,77834,77834,IIC,,C1-53390002790,0000000000000000C1-53390002790,GARYULO,2023-10-10 10:50:06.000000 UTC,,,,,,,3965916513,1,,,,,,,,,,,,,,,,,c44ddfdc-3836-47de-a0eb-4046e672f2c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUC,,275541762,2023-10-11', '1922', '1903', '1742,1802,""El cliente tiene un RestorÃ\x83Â¡n que la noche anterior lo cerro correctamente alrededor de las 23:45 hs  cerrando las puertas con candado y colocando la alarma de marca ADT.', 'Al otro dÃ\x83Â\xada 14/07 cerca de las 11:00 hs de la maÃ\x83Â±ana se da cuenta que habian forzado y roto el candado', 'Al dÃ\x83Â\xada de hoy solo pudieron verificar el robo del dinero', 'El cliente informa que la puerta tenia dos cerraduras de bronce que se llevaron', nan]"
cla_case_no,8,8,0,0,0,7,"['1762', nan, '1723', '1982', '1963', ' de la puerta que da a la calle Serrano y EspaÃ\x83Â±a del local', ' la moto ', ' la puerta era de blindex pero no se rompiÃ\x83Â³ el cristal.', '86274']"
description,7,7,0,0,0,8,"['A causa de un Rayo ocurrido en la tormenta del 25/05/2023. La Heladera dejo de Funcionar', nan, 'DEJO DE FUNCIONAR LA HELADERA LUEGO DE UNA DESCARGA DE RAYO', 'Se rompiÃ\x83Â³ el cristal de la cancha nro.2', 'Paso un camiÃ\x83Â³n y una piedra impacto contra la vidriera. ', ' ingresando al mismo puede constatar que le falta dinero de la caja fuerte (total $50.000)', ' las roturas de forzar las cerraduras las cuales se llevaron', '5034837']"
name_id_no,7,7,0,0,0,8,"['64726', nan, '73946', '104256', '106267', ' la moto de un empleado del local(la cual esta asegurada).', ' total de 2.', '81014']"
policy_line_no,5,5,0,0,0,10,"[5033251.0, nan, 5033933.0, 5036257.0, 5036213.0, 505.0]"
policy_line_seq_no,5,5,0,0,0,10,"[79263.0, nan, 79946.0, 82498.0, 82453.0, 0.0]"
risk_no,5,3,2,0,0,10,"['201', nan, '301', 'SIC6']"
subrisk_no,5,2,3,0,4,10,"['0', nan, 'QIC6']"
cla_class,5,3,2,0,0,10,"['SIC2', nan, 'SIC7', 'OK']"
question_class,5,3,2,0,0,10,"['QIC2', nan, 'QIC7', 'TG1']"
question_status,4,1,3,0,0,11,"['OK', nan]"
tasklist_class,5,2,3,0,0,10,"['TG1', nan, 'OP']"
customer_status,1,1,0,0,0,14,"[nan, 'IN']"
status,4,2,2,0,0,11,"['CL', nan, 'OP']"
informer_type,4,2,2,0,0,11,"['EMP', nan, 'IN']"
informer_name,1,1,0,0,0,14,"[nan, 'GIULIANA ORTIZ']"
informer_contact,1,1,0,0,0,14,"[nan, 'RODRIGGR']"
workgroup,0,0,0,0,0,15,[nan]
handler,4,2,2,0,0,11,"['GARYULO', nan, 'BUCHICAR']"
stat_code1,0,0,0,0,0,15,[nan]
stat_code2,0,0,0,0,0,15,[nan]
stat_code3,1,1,0,0,0,14,"[nan, 'N']"
reinsurance_no,0,0,0,0,0,15,[nan]
loss_of_bonus,4,1,3,0,0,11,"['N', nan]"
decline,1,1,0,0,0,14,"[nan, '2023-07-17 12:43:00.000000 UTC']"
decline_reason,0,0,0,0,0,15,[nan]
notification_date,5,5,0,0,0,10,"['2023-06-16 17:10:00.000000 UTC', nan, '2023-06-02 11:45:06.000000 UTC', '2023-11-15 13:53:00.000000 UTC', '2023-10-30 13:02:11.000000 UTC', '2023-07-17 12:50:19.000000 UTC']"
discover_date,0,0,0,0,0,15,[nan]
first_open_date,4,4,0,0,0,11,"['2023-06-16 17:11:43.000000 UTC', nan, '2023-06-02 12:49:52.000000 UTC', '2023-11-23 13:59:37.000000 UTC', '2023-10-30 13:22:17.000000 UTC']"
first_close_date,2,2,0,0,0,13,"['2023-06-21 15:09:22.000000 UTC', nan, '2023-06-21 15:30:50.000000 UTC']"
reopen_date,1,1,0,0,0,14,"['2023-07-10 15:54:42.000000 UTC', nan]"
reopen_reason,0,0,0,0,0,15,[nan]
reclose_date,1,1,0,0,0,14,"['2023-07-10 15:55:18.000000 UTC', nan]"
hours_spend,0,0,0,0,0,15,[nan]
c01,0,0,0,0,0,15,[nan]
c02,0,0,0,0,0,15,[nan]
c03,0,0,0,0,0,15,[nan]
c04,0,0,0,0,0,15,[nan]
c05,0,0,0,0,0,15,[nan]
c06,0,0,0,0,0,15,[nan]
c07,0,0,0,0,0,15,[nan]
c08,0,0,0,0,0,15,[nan]
c09,0,0,0,0,0,15,[nan]
c10,0,0,0,0,0,15,[nan]
c11,0,0,0,0,0,15,[nan]
c12,0,0,0,0,0,15,[nan]
c13,0,0,0,0,0,15,[nan]
c14,0,0,0,0,0,15,[nan]
c15,0,0,0,0,0,15,[nan]
c16,0,0,0,0,0,15,[nan]
c17,0,0,0,0,0,15,[nan]
c18,1,1,0,0,0,14,"[nan, 'BUENOS AIRES']"
c19,1,1,0,0,0,14,"[nan, '2023-07-17 12:50:21.000000 UTC']"
c20,5,3,2,0,0,10,"['BUENOS AIRES', nan, 'MENDOZA', 'BENITEGL']"
timestamp,4,4,0,0,0,11,"['2023-07-10 15:55:18.000000 UTC', nan, '2023-06-21 15:30:50.000000 UTC', '2023-11-23 13:59:39.000000 UTC', '2023-10-30 15:50:57.000000 UTC']"
userid,5,4,1,0,0,10,"['OLIVET', nan, 'BENITEGL', 'BUCHICAR', '5']"
case_type,1,1,0,0,0,14,"[nan, 'MUYIZ']"
record_version,4,4,0,0,0,11,"[11.0, nan, 6.0, 5.0, 7.0]"
