columnas,count,unique,duplicate,vacios,cero,null,unique_values
ï»¿cla_event_no,69,10,59,0,0,0,"[1643, 1842, 1822, 1783, 1823, 1702, 1862, 1922, 1903, 1742]"
cla_case_no,69,10,59,0,0,0,"[1723, 1902, 1882, 1843, 1883, 1762, 1922, 1982, 1963, 1802]"
cla_subcase_no,0,0,0,0,0,69,[nan]
cla_item_no,69,19,50,0,0,0,"[1439, 1438, 1622, 1623, 1603, 1545, 1605, 1604, 1482, 1483, 1642, 1643, 1703, 1702, 1687, 1502, 1503, 1602, 1562]"
seq_no,69,69,0,0,0,0,"[1680, 1682, 1679, 1681, 2045, 2043, 2044, 1963, 1964, 1846, 2025, 2024, 2026, 2023, 1745, 1743, 1744, 2063, 2065, 2064, 2129, 2134, 2190, 2189, 2191, 2114, 1703, 1783, 1784, 2171, 2172, 1765, 1764, 1763, 1766, 1767, 1883, 1884, 1731, 1732, 1924, 1923, 1925, 1928, 1926, 1927, 1805, 1803, 1804, 1983, 1984, 2083, 2085, 2086, 2088, 2087, 2084, 2074, 1944, 1946, 1943, 1866, 1865, 1863, 1867, 1868, 1864, 2003, 2004]"
description,66,3,63,0,0,3,"['Reserva Automatica', 'Honorarios para el liquidador', 'Automatic Item', nan]"
receiver_id_no,25,5,20,0,0,44,"[nan, 71552.0, 85286.0, 85251.0, 89052.0, 89346.0]"
object_no,69,10,59,0,0,0,"[53475, 53755, 53936, 53937, 54015, 52793, 53979, 55779, 55735, 54359]"
object_seq_no,69,10,59,0,0,0,"[77207, 77573, 77792, 77793, 77870, 76524, 77834, 79717, 79674, 78235]"
object_id,28,4,24,0,0,41,"[nan, 77573.0, 76524.0, 77834.0, 79674.0]"
object_price,0,0,0,0,0,69,[nan]
object_age,0,0,0,0,0,69,[nan]
risk_no,69,5,64,0,0,0,"[201, 401, 301, 501, 505]"
subrisk_no,69,1,68,0,0,0,[0]
status,69,3,66,0,0,0,"['OP', 'CL', 'RO']"
first_open_date,69,11,58,0,0,0,"['2023-06-02 12:49:52.000000 UTC', '2023-09-21 16:35:37.000000 UTC', '2023-08-25 15:09:45.000000 UTC', '2023-07-21 15:56:36.000000 UTC', '2023-08-25 16:05:35.000000 UTC', '2023-06-16 17:11:43.000000 UTC', '2023-09-26 14:51:18.000000 UTC', '2023-11-23 13:59:37.000000 UTC', '2023-10-30 13:22:17.000000 UTC', '2023-07-17 12:50:19.000000 UTC', '2023-08-09 15:46:47.000000 UTC']"
first_close_date,20,15,5,0,0,49,"[nan, '2023-08-30 09:14:25.000000 UTC', '2023-09-19 14:55:48.000000 UTC', '2023-09-19 14:48:03.000000 UTC', '2023-06-05 11:13:10.000000 UTC', '2023-06-21 15:08:52.000000 UTC', '2023-06-21 15:08:37.000000 UTC', '2023-11-16 15:19:59.000000 UTC', '2023-06-15 13:37:55.000000 UTC', '2023-08-31 12:04:09.000000 UTC', '2023-10-10 10:47:17.000000 UTC', '2023-10-10 10:49:50.000000 UTC', '2023-08-28 16:14:02.000000 UTC', '2023-08-09 16:03:44.000000 UTC', '2023-08-09 16:03:45.000000 UTC', '2023-09-13 16:49:06.000000 UTC']"
reopen_date,5,2,3,0,0,64,"[nan, '2023-06-21 15:49:09.000000 UTC', '2023-06-21 15:49:26.000000 UTC']"
reopen_reason,0,0,0,0,0,69,[nan]
reclose_date,2,2,0,0,0,67,"[nan, '2023-07-10 15:40:30.000000 UTC', '2023-07-10 15:41:19.000000 UTC']"
hours_spend,0,0,0,0,0,69,[nan]
workgroup,0,0,0,0,0,69,[nan]
handler,69,4,65,0,0,0,"['OLIVET', 'ESTFRANC', 'ESTUSSGG', 'ESTSALVA']"
